name,year,lowermiddlequarter,suburb,incomeperstudent,fulltimenonteachers,state,schooltype,uppermiddlequarter,netrecurrentincome,topquarter,schoolsector,capitalexpenditure,icseavalue,fulltimeteachers,location,totalenrollments,bottomquarter,schoolheading,studentteacherratio,type,ratio,tophalf,midics,readingyear3,writingyear3,spellingyear3,grammaryear3,numeracyyear3,readingyear5,writingyear5,spellingyear5,grammaryear5,numeracyyear5,readingyear7,writingyear7,spellingyear7,grammaryear7,numeracyyear7,readingyear9,writingyear9,spellingyear9,grammaryear9,numeracyyear9,_merge,missy3,missy5,missy7,missy9,rawy3agg,rawy5agg,rawy7agg,rawy9agg,y3aggregate,y5aggregate,y7aggregate,y9aggregate,reporticsea,incomequartile,y3quartile,y3agg10,ics10,fitted
Al Sadiq College Inc,2014,26,Yagoona,12113,18.2,NSW,Primary,15,6226207,4,Non-government,162394,946,39.2,Metropolitan,580,55,"Al Sadiq College Inc, Yagoona, NSW",,Primary,14.79591846,0,below,376,394,408,376,353,452,459,492,485,440,493,484,537,504,495,563,543,588,561,563,3,0,0,0,0,1907,2328,2513,2818,1907,2328,2513,2818,report ICSEA,2,4,19070,9460,"1,901.14978"
Al Siraat College,2014,28,Epping,15253,15.8,VIC,Combined,23,4514970,11,Non-government,2259287,982,27.8,Metropolitan,409,38,"Al Siraat College, Epping, VIC",,Combined,14.71223068,0,below,398,431,405,393,382,460,469,498,461,451,494,493,520,493,498,538,511,554,540,540,3,0,0,0,0,2009,2339,2498,2683,2009,2339,2498,2683,report ICSEA,3,4,20090,9820,"1,971.270996"
Al Zahra College,2014,24,Arncliffe,13554,7,NSW,Combined,20,4228695,12,Non-government,780013,976,26.9,Metropolitan,332,45,"Al Zahra College, Arncliffe, NSW",,Combined,12.34200764,0,below,410,434,431,440,438,498,502,542,529,509,507,516,559,528,509,553,547,582,557,567,3,0,0,0,0,2153,2580,2619,2806,2153,2580,2619,2806,report ICSEA,3,4,21530,9760,"1,959.584106"
Al-Faisal College,2014,,Campbelltown Campus,,6.4,NSW,Combined,,,,Non-government,,,34,Metropolitan,477,,"Al-Faisal College, Campbelltown Campus, Minto, NSW",,Combined,14.02941132,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,,,,,
Al-Hidayah Islamic School,2014,25,Bentley,9700,14.2,WA,Primary,22,2085535,24,Non-government,781,1009,12,Metropolitan,194,29,"Al-Hidayah Islamic School, Bentley, WA",,Primary,16.16666603,0,above,392,373,425,393,378,466,433,498,489,438,,,,,,,,,,,3,0,0,5,5,1961,2324,,,1961,2324,,,report ICSEA,1 (lowest income),4,19610,10090,"2,023.861816"
Al-Taqwa College,2014,30,Hoppers Crossing,12905,51.5,VIC,Combined,25,20196634,14,Non-government,2332726,1003,124,Metropolitan,1701,31,"Al-Taqwa College, Hoppers Crossing, VIC",,Combined,13.71774197,0,below,415,418,445,436,396,463,464,505,480,474,524,504,549,526,526,566,566,599,574,585,3,0,0,0,0,2110,2386,2629,2890,2110,2386,2629,2890,report ICSEA,3,4,21100,10030,"2,012.174927"
Alamanda K-9 College,2014,18,Point Cook,8635,13.6,VIC,Combined,34,3635427,41,Government,8509540,1085,47.5,Metropolitan,806,7,"Alamanda K-9 College, Point Cook, VIC",,Combined,16.96842194,1,above,435,436,429,442,429,515,492,498,520,509,544,511,552,534,544,,,,,,3,0,0,0,5,2171,2534,2685,,2171,2534,2685,,report ICSEA,1 (lowest income),4,21710,10850,"2,171.895264"
Alawa Primary School,2014,23,Alawa,19365,7.5,NT,Primary,18,2943511,17,Government,66563,909,13.1,Provincial,163,42,"Alawa Primary School, Alawa, NT",,Primary,12.44274807,0,below,399,355,353,370,371,477,447,478,472,481,,,,,,,,,,,3,0,0,5,5,1848,2355,,,1848,2355,,,report ICSEA,4 (highest income),4,18480,9090,"1,829.080933"
Albanvale Primary School,2014,28,Albanvale,10675,2.9,VIC,Primary,12,2359119,4,Government,7681,939,11.8,Metropolitan,209,56,"Albanvale Primary School, Albanvale, VIC",,Primary,17.71186447,0,below,399,419,422,430,390,500,479,510,510,480,,,,,,,,,,,3,0,0,5,5,2060,2479,,,2060,2479,,,report ICSEA,2,4,20600,9390,"1,887.515137"
Albany Creek State High School,2014,32,Albany Creek,12036,28.2,QLD,Secondary,34,13283305,21,Government,849149,1039,83.7,Metropolitan,1035,13,"Albany Creek State High School, Albany Creek, QLD",,Secondary,12.36559105,1,above,,,,,,,,,,,,,,,,581,555,571,569,578,3,5,5,5,0,,,,2854,,,,2854,report ICSEA,2,,,10390,"2,082.296143"
Albany Creek State School,2014,29,Albany Creek,10003,18.8,QLD,Primary,35,8088725,26,Government,81006,1055,48.3,Metropolitan,835,10,"Albany Creek State School, Albany Creek, QLD",,Primary,17.28778458,1,above,426,372,413,440,406,521,486,501,529,504,546,503,551,560,565,,,,,,3,0,0,0,5,2057,2541,2725,,2057,2541,2725,,report ICSEA,1 (lowest income),4,20570,10550,"2,113.460938"
Albany Hills State School,2014,22,Albany Creek,9650,17.8,QLD,Primary,37,7277805,35,Government,92772,1078,42.5,Metropolitan,757,6,"Albany Hills State School, Albany Creek, QLD",,Primary,17.81176376,1,above,443,409,436,453,416,519,473,513,546,509,548,517,557,550,558,,,,,,3,0,0,0,5,2157,2560,2730,,2157,2560,2730,,report ICSEA,1 (lowest income),4,21570,10780,"2,158.260498"
Albany Primary School,2014,29,Albany,11718,14.9,WA,Primary,29,5948092,23,Government,93443,1031,27.3,Provincial,531,18,"Albany Primary School, Albany, WA",,Primary,19.45055008,1,above,414,393,424,430,397,490,450,487,494,474,563,496,540,552,562,,,,,,3,0,0,0,5,2058,2395,2713,,2058,2395,2713,,report ICSEA,2,4,20580,10310,"2,066.713623"
Albany Rise Primary School,2014,32,Mulgrave,9646,6.3,VIC,Primary,27,3000056,13,Government,21675,1004,19.3,Metropolitan,301,29,"Albany Rise Primary School, Mulgrave, VIC",,Primary,15.59585476,0,below,402,409,406,417,403,499,465,513,512,500,,,,,,,,,,,3,0,0,5,5,2037,2489,,,2037,2489,,,report ICSEA,1 (lowest income),4,20370,10040,"2,014.122681"
Albany Secondary Education Support Centre,2014,,Albany,88729,22.3,WA,Special,,3282969,,Government,2177,,9.6,Provincial,38,,"Albany Secondary Education Support Centre, Albany, WA",,Special,3.958333254,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,4 (highest income),,,,
Albany Senior High School,2014,34,Albany,15139,20.9,WA,Secondary,26,14215233,17,Government,365374,1013,64.2,Provincial,953,23,"Albany Senior High School, Albany, WA",,Secondary,14.84423637,0,above,,,,,,,,,,,,,,,,590,559,575,572,592,3,5,5,5,0,,,,2888,,,,2888,report ICSEA,3,,,10130,"2,031.652954"
Albert Park College,2014,12,Albert Park,12804,12.9,VIC,Secondary,26,6235354,54,Government,73433,1112,48.9,Metropolitan,703,8,"Albert Park College, Albert Park, VIC",14.37627812,Secondary,14.37627792,1,above,,,,,,,,,,,580,546,568,571,568,610,570,586,594,598,3,5,5,0,0,,,2833,2958,,,2833,2958,report ICSEA,3,,,11120,"2,224.486084"
Albert Park Flexible Learning Centre,2014,,Milton,14729,9.3,QLD,Special,,1322627,,Non-government,34210,,6.4,Metropolitan,112,,"Albert Park Flexible Learning Centre, Milton, QLD",,Special,17.5,1,above,,,,,,,,,,,,,,,,,,,,,3,5,5,5,5,,,,,,,,,no ICSEA,3,,,,
Albert Park Primary School,2014,8,Albert Park,7711,4,VIC,Primary,24,3408189,65,Government,26787,1146,28.1,Metropolitan,470,2,"Albert Park Primary School, Albert Park, VIC",,Primary,16.72597885,1,above,471,410,452,460,422,530,497,506,513,508,,,,,,,,,,,3,0,0,5,5,2215,2554,,,2215,2554,,,report ICSEA,1 (lowest income),4,22150,11460,"2,290.711426"
Albert Park Public School,2014,9,East Lismore,20804,2.4,NSW,Primary,15,936165,3,Government,27832,816,4.2,Provincial,57,72,"Albert Park Public School, East Lismore, NSW",,Primary,13.5714283,0,below,314,347,314,235,333,395,399,412,388,402,,,,,,,,,,,3,0,0,5,5,1543,1996,,,1543,1996,,,report ICSEA,4 (highest income),4,15430,8160,"1,647.934692"
Albert State School,2014,17,Maryborough,12994,5.6,QLD,Primary,7,1923155,2,Government,39827,884,8.4,Provincial,148,73,"Albert State School, Maryborough, QLD",,Primary,17.61904716,0,below,334,308,348,346,321,442,406,417,424,447,472,408,475,456,482,,,,,,3,0,0,0,5,1657,2136,2293,,1657,2136,2293,,report ICSEA,3,4,16570,8840,"1,780.385742"
Alberton Primary School,2014,26,Alberton,13141,5.1,VIC,Primary,10,893579,3,Government,9317,933,5,Provincial,65,61,"Alberton Primary School, Alberton, VIC",,Primary,13,0,below,385,354,389,358,402,472,441,457,455,451,,,,,,,,,,,3,0,0,5,5,1888,2276,,,1888,2276,,,report ICSEA,3,4,18880,9330,"1,875.828369"
